# Format
# SessionGroup Blob_ID Blob_File
#icetool
icetool	1095  $ICEroot/icetool/nobranch.gif
icetool	1096  $ICEroot/icetool/empty.gif
icetool	1097  $ICEroot/icetool/icon_rpage.gif
icetool	1098  $ICEroot/icetool/icon_page.gif
icetool	1099  $ICEroot/icetool/icon_rmulti.gif
icetool	1100  $ICEroot/icetool/icon_multi.gif
icetool	1101  $ICEroot/icetool/lastopened.gif
icetool	1102  $ICEroot/icetool/lastleaf.gif
icetool	1103  $ICEroot/icetool/lastclosed.gif
icetool	1104  $ICEroot/icetool/opened.gif
icetool	1105  $ICEroot/icetool/leaf.gif
icetool	1106  $ICEroot/icetool/closed.gif
icetool	1107  $ICEroot/icetool/icon_units.gif
icetool	1108  $ICEroot/icetool/icon_unit.gif
icetool	1109  $ICEroot/icetool/icon_locs.gif
icetool	1110  $ICEroot/icetool/icon_pages.gif
icetool	1111  $ICEroot/icetool/icon_multis.gif
icetool	1112  $ICEroot/icetool/icon_access.gif
icetool	1113  $ICEroot/icetool/icon_loc.gif
icetool	1114  $ICEroot/icetool/cancel.gif
icetool	1115  $ICEroot/icetool/submit.gif
icetool	1116  $ICEroot/icetool/menu.gif
icetool	1117  $ICEroot/icetool/logout.gif
icetool	1118  $ICEroot/icetool/iipe_anim.gif
icetool	1119  $ICEroot/icetool/update.gif
icetool	1120  $ICEroot/icetool/delete.gif
icetool	1121  $ICEroot/icetool/view.gif
icetool	1122  $ICEroot/icetool/code.gif
icetool	1123  $ICEroot/icetool/access.gif
icetool	1124  $ICEroot/icetool/download.gif
icetool	1125  $ICEroot/icetool/server_anim.gif
icetool	1126  $ICEroot/icetool/security_anim.gif
icetool	1127  $ICEroot/icetool/icon_dbu.gif
icetool	1128  $ICEroot/icetool/icon_role.gif
icetool	1129  $ICEroot/icetool/icon_db.gif
icetool	1130  $ICEroot/icetool/icon_user.gif
icetool	1131  $ICEroot/icetool/icon_dbs.gif
icetool	1132  $ICEroot/icetool/icon_roles.gif
icetool	1133  $ICEroot/icetool/icon_profile.gif
icetool	1134  $ICEroot/icetool/icon_dbus.gif
icetool	1135  $ICEroot/icetool/icon_users.gif
icetool	1136  $ICEroot/icetool/icon_profiles.gif
icetool	1137  $ICEroot/icetool/icon_var.gif
icetool	1138  $ICEroot/icetool/icon_vars.gif
icetool	1139  $ICEroot/icetool/icon_monit.gif
icetool	1140  $ICEroot/icetool/icon_act_sess.gif
icetool	1141  $ICEroot/icetool/icon_cache.gif
icetool	1142  $ICEroot/icetool/icon_trans.gif
icetool	1143  $ICEroot/icetool/icon_curs.gif
icetool	1144  $ICEroot/icetool/icon_copy.gif
icetool	1145  $ICEroot/icetool/icon_apps.gif
icetool	1146  $ICEroot/icetool/icon_app.gif
#icetutor
icetutor	2079  $ICEroot/icetutor/empty.gif
icetutor	2080  $ICEroot/icetutor/nobranch.gif
icetutor	2081  $ICEroot/icetutor/lastopened.gif
icetutor	2082  $ICEroot/icetutor/lastleaf.gif
icetutor	2083  $ICEroot/icetutor/lastclosed.gif
icetutor	2084  $ICEroot/icetutor/opened.gif
icetutor	2085  $ICEroot/icetutor/leaf.gif
icetutor	2086  $ICEroot/icetutor/closed.gif
icetutor	2087  $ICEroot/icetutor/icon_page.gif
icetutor	2088  $ICEroot/icetutor/icon_book.gif
icetutor	2089  $ICEroot/icetutor/icon_chap.gif
icetutor	2090  $ICEroot/icetutor/previous.gif
icetutor	2091  $ICEroot/icetutor/next.gif
icetutor	2092  $ICEroot/icetutor/logout.gif
icetutor	2093  $ICEroot/icetutor/capbucreate.gif
icetutor	2094  $ICEroot/icetutor/capbuaccess.gif
icetutor	2095  $ICEroot/icetutor/capbuloc.gif
icetutor	2096  $ICEroot/icetutor/capdoccreate.gif
icetutor	2097  $ICEroot/icetutor/capdocaccess.gif
icetutor	2098  $ICEroot/icetutor/icon_multi.gif
#plays
plays	24    $ICEroot/plays/OldGlobe.gif
plays	25    $ICEroot/plays/tragedy.gif
plays	26    $ICEroot/plays/history.gif
plays	28    $ICEroot/plays/comedy.gif
plays	29    $ICEroot/plays/bgpaper.gif
plays	30    $ICEroot/plays/logout.gif
plays	31    $ICEroot/plays/play_styleSheet.css
